0,0.2,101.9
11,0.2,203.9
21,0.5,307.0
32,0.6,416.2
44,0.9,525.9
55,0.9,596.5
66,0.9,705.6
77,1.0,795.2
89,1.2,890.7
100,1.4,1000.4
111,1.7,1102.6
122,1.7,1190.5
134,1.8,1267.8
145,1.8,1359.3
156,2.0,1437.9
172,2.1,1515.5
189,1.9,1511.7
205,2.0,1509.5
222,1.8,1499.7
238,2.0,1487.3
256,1.9,1453.0
272,2.2,1485.1
288,2.3,1483.6
305,2.5,1467.2
322,2.4,1463.2
338,2.3,1457.4
355,2.3,1442.8
371,2.4,1457.8
389,2.6,1470.7
405,2.6,1465.4
421,2.6,1489.0
438,2.7,1507.1
455,2.9,1494.7
472,3.0,1469.9
488,3.1,1462.3
504,3.1,1445.4
522,2.9,1459.7
538,2.8,1433.2
555,2.8,1407.9
571,2.7,1416.5
588,2.6,1395.5
605,2.7,1378.3
621,2.7,1386.9
637,2.8,1369.2
655,2.9,1354.2
671,3.2,1339.1
688,3.1,1314.6
704,3.4,1320.1
721,3.2,1320.1
738,3.2,1318.9
754,3.5,1322.3
771,3.3,1324.3
788,3.6,1344.5
804,3.4,1367.6
821,3.6,1369.4
837,3.5,1379.2
855,3.6,1412.9
871,3.7,1406.0
887,3.6,1401.0
904,3.6,1412.7
921,3.3,1440.4
937,3.3,1446.2
954,3.1,1470.3
970,2.8,1444.4
988,2.8,1436.9
1004,2.8,1434.0
1021,2.6,1438.8
1040,2.8,1436.1
1057,2.9,1420.2
1075,3.0,1425.6
1092,3.0,1441.8
1111,3.2,1428.7
1128,3.4,1425.0
1145,3.4,1434.6
1163,3.5,1427.8
1181,3.3,1414.5
1199,3.3,1398.3
1216,3.3,1424.4
1233,3.4,1423.0
1252,3.4,1424.8
1269,3.3,1424.5
1287,3.3,1438.7
1304,3.3,1444.1
1323,3.0,1437.5
1340,2.8,1425.7
1357,2.9,1398.5
1376,2.8,1399.3
1393,2.6,1396.5
1411,2.4,1404.2
1428,2.3,1412.4
1446,2.4,1437.3
1464,2.3,1435.8
1481,2.5,1422.2
1499,2.3,1401.5
1517,2.6,1396.2
1534,2.6,1427.5
1552,2.8,1439.4
1569,2.5,1442.5
